50	327.101867687	505.057931682	0.0	485.0
58	343.87319104	519.073433461	328.0	481.0
89	333.640978667	481.562672419	314.0	519.0
101	319.63191439	555.71970223	325.0	0.0
115	321.326989122	550.584340765	334.0	0.0
157	340.69382164	504.399648344	328.0	535.0
163	310.652750162	529.202002148	0.0	553.0
164	323.727994043	503.454971361	0.0	497.0
195	299.903999887	495.30645233	338.0	522.0
269	317.722014208	536.184677583	300.0	527.0
309	314.197014947	533.736536588	0.0	528.0
373	361.501950665	524.197491472	0.0	511.0
383	372.212006377	554.331170691	299.0	538.0
419	361.171527895	502.171103979	290.0	0.0
446	298.532975601	553.447025967	0.0	503.0
464	371.303578124	517.941038518	0.0	486.0
484	364.852227993	530.098707907	301.0	543.0
493	373.397812861	496.680749785	0.0	525.0
504	293.480095004	519.449302905	282.0	503.0
541	297.548509018	536.164559819	209.0	0.0
559	372.526899347	559.023834401	0.0	159.0
561	375.021314836	520.066187875	280.0	0.0
592	381.860585287	523.824064197	289.0	502.0
603	283.253945598	492.025618248	270.0	540.0
635	379.739284732	554.949668372	0.0	484.0
654	390.534135576	552.48064833	0.0	490.0
667	395.30584518	513.736115322	386.0	0.0
668	386.229336005	489.942753736	0.0	496.0
698	391.711426169	503.147052226	280.0	560.0
699	391.948902316	550.701772953	0.0	489.0
779	404.259496929	483.03680179	0.0	500.0
850	409.371293566	536.962581125	0.0	530.0
884	427.792637128	479.021372606	40.0	0.0
921	413.550060543	573.757360653	269.0	1176.0
951	419.08682143	516.520779362	406.0	0.0
954	419.915540686	550.308262845	412.0	486.0
956	259.416473512	516.789085155	18.0	0.0
